area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,industry_name,treatment_group,source_file,quarter_date,year_quarter,treatment_period,post_tariff,avg_monthly_employment,log_employment,log_wages,log_avg_weekly_wage,treated,treated_post
01000,5,3311,56,0,2020,4,,27,4846,4834,4827,126326497,1006665,14461,2010,,2.34,4.5,4.47,4.42,5.85,3.7,3.39,1.31,,2,8.0,-167,-3.3,-234,-4.6,-264,-5.2,-3975101,-3.1,-715203,-41.5,-35959,-71.3,28,1.4,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,4835.666666666667,8.483774281870792,18.65438035945794,7.605890001053122,1,1
01073,5,3311,76,0,2020,4,,6,1428,1426,1418,39654506,217079,5007,2142,,3.53,7.56,7.5,7.37,9.08,4.89,8.0,1.21,,0,0.0,21,1.5,-4,-0.3,-13,-0.9,2637941,7.1,-457748,-67.8,-30250,-85.8,141,7.0,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1424.0,7.261225091971921,17.495715143976494,7.669495251007694,1,1
01097,5,3311,76,0,2020,4,,3,1681,1690,1687,37785046,437219,5348,1724,,3.31,18.16,18.23,18.11,20.11,18.53,12.23,1.11,,0,0.0,-67,-3.8,-63,-3.6,-74,-4.2,-4928629,-11.5,-39364,-8.3,-116,-2.1,-149,-8.0,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1686.0,7.430114138561801,17.447423973850533,7.452402451223638,1,1
04000,5,3311,56,0,2020,4,,8,163,168,166,3430472,107752,1403,1593,,0.54,0.1,0.1,0.1,0.1,0.27,0.17,0.94,,0,0.0,-10,-5.8,-5,-2.9,-8,-4.6,486265,16.5,19240,21.7,-203,-12.6,286,21.9,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,165.66666666666666,5.109977737428519,15.048208419004274,7.373374309910049,1,1
04013,5,3311,76,0,2020,4,,6,61,64,61,1013475,82899,807,1257,,0.62,0.05,0.06,0.05,0.04,0.28,0.14,0.71,,0,0.0,-7,-10.3,-2,-3.0,-7,-10.3,89942,9.7,21357,34.7,-79,-8.9,202,19.1,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,62.0,4.127134385045092,13.828895577574396,7.136483208590247,1,1
05000,5,3311,56,0,2020,4,,12,3609,3634,3627,106394832,1157209,12234,2259,,1.49,5.43,5.45,5.41,8.8,7.98,5.01,1.62,,3,33.3,264,7.9,285,8.5,291,8.7,5367934,5.3,225895,24.3,4024,49.0,-65,-2.8,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,3623.3333333333335,8.195149691447146,18.482667562263618,7.7226775164680035,1,1
05093,5,3311,76,0,2020,4,,7,2858,2872,2857,91798565,887655,10998,2467,,76.18,299.2,303.63,302.44,460.33,401.31,212.53,1.53,,1,16.7,304,11.9,309,12.1,301,11.8,3314780,3.7,4097,0.5,3193,40.9,-194,-7.3,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,2862.3333333333335,7.959392422004375,18.335107223660263,7.810758116529357,1,1
06000,5,3311,56,0,2020,4,,97,2328,2304,2293,51673902,631156,26116,1722,,0.69,0.25,0.25,0.25,0.18,0.3,0.26,0.72,,-7,-6.7,-323,-12.2,-208,-8.3,-206,-8.2,-655326,-1.3,-10347,-1.6,3195,13.9,146,9.3,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,2308.3333333333335,7.7442810423874295,17.760463415120583,7.451241684987676,1,1
06029,5,3311,76,0,2020,4,,4,36,37,40,583646,8109,402,1192,,2.09,0.19,0.2,0.22,0.17,0.14,0.11,0.8,,0,0.0,4,12.5,5,15.6,6,17.6,120162,25.9,-10694,-56.9,-237,-37.1,101,9.3,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,37.666666666666664,3.628775530044231,13.277049913634897,7.083387847625295,1,1
06037,5,3311,76,0,2020,4,,25,135,129,114,2818750,61956,1854,1721,,0.56,0.06,0.06,0.05,0.04,0.12,0.08,0.77,,0,0.0,-26,-16.1,-29,-18.4,-39,-25.5,-268449,-8.7,-304,-0.5,-518,-21.8,212,14.0,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,126.0,4.836281906951478,14.851804082233125,7.450660796211539,1,1
06065,5,3311,76,0,2020,4,,9,303,310,294,5506582,134515,6410,1401,,1.46,0.74,0.74,0.71,0.7,1.18,1.32,0.96,,2,28.6,-10,-3.2,7,2.3,-15,-4.9,491703,9.8,-5190,-3.7,766,13.6,150,12.0,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,302.3333333333333,5.711530161447027,15.521454661968132,7.244941546337007,1,1
06071,5,3311,76,0,2020,4,,11,1015,1008,1004,23015832,74089,2686,1755,,1.95,2.36,2.32,2.29,2.63,0.62,0.53,1.13,,-1,-8.3,-210,-17.1,-108,-9.7,-93,-8.5,-1457627,-6.0,-33322,-31.0,-939,-25.9,112,6.8,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1009.0,6.9167150203536085,16.95169288491681,7.470224135899966,1,1
06999,5,3311,76,0,2020,4,,8,17,15,14,391296,88188,5468,1963,,1.75,0.08,0.07,0.06,0.05,1.07,1.25,0.64,,-2,-20.0,-9,-34.6,-10,-40.0,-7,-33.3,-185990,-32.2,80008,978.1,5101,1389.9,113,6.1,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,15.333333333333334,2.7300291078209855,12.877219585810451,7.5822291942764615,1,1
12000,5,3311,56,0,2020,4,,42,877,876,879,26961616,448135,4391,2364,,0.65,0.18,0.18,0.18,0.26,0.4,0.44,1.44,,4,10.5,125,16.6,95,12.2,105,13.6,9883693,57.9,-237325,-34.6,-3586,-45.0,656,38.4,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,877.3333333333334,6.776887003777098,17.10992478286483,7.768110378525988,1,1
12057,5,3311,76,0,2020,4,,6,68,68,70,1104697,21968,160,1238,,1.45,0.18,0.18,0.18,0.12,0.24,0.21,0.7,,-1,-14.3,-6,-8.1,-1,-1.4,2,2.9,327173,42.1,-107918,-83.1,21,15.1,388,45.6,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,68.66666666666667,4.229263880121471,13.915081647187266,7.121252453244542,1,1
13000,5,3311,56,0,2020,4,,27,652,666,682,13579750,474549,5287,1567,,0.99,0.27,0.27,0.28,0.25,0.59,0.39,0.93,,-1,-3.6,-189,-22.5,-201,-23.2,-192,-22.0,-1914177,-12.4,-174332,-26.9,-3333,-38.7,182,13.1,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,666.6666666666666,6.502290170873972,16.424090270499743,7.356918242356021,1,1
17000,5,3311,56,0,2020,4,,61,4562,4553,4583,94986174,1885998,37131,1600,,1.88,1.45,1.46,1.47,1.22,1.89,1.48,0.83,,-3,-4.7,-263,-5.5,-231,-4.8,-229,-4.8,-5801096,-5.8,-163728,-8.0,-38755,-51.1,-13,-0.8,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,4566.0,8.42639282708974,18.369241902131197,7.3777589082278725,1,1
17031,5,3311,76,0,2020,4,,18,668,643,663,12463200,376944,11298,1457,,1.51,0.5,0.49,0.5,0.33,0.94,1.14,0.67,,-2,-10.0,-61,-8.4,-78,-10.8,-57,-7.9,-122746,-1.0,134589,55.5,3286,41.0,119,8.9,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,658.0,6.489204931325317,16.338290860180354,7.284134806195205,1,1
17999,5,3311,76,0,2020,4,,12,17,17,17,664334,35816,900,3006,,2.39,0.2,0.2,0.2,0.22,0.64,0.45,1.09,,2,20.0,11,183.3,11,183.3,10,142.9,443958,201.5,10963,44.1,111,14.1,329,12.3,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,17.0,2.833213344056216,13.406540314038612,8.00836557031292,1,1
18000,5,3311,56,0,2020,4,,32,16467,16442,16494,447619041,2714563,40264,2091,,2.19,9.92,9.89,9.84,13.76,5.66,4.14,1.39,,0,0.0,-1384,-7.8,-1373,-7.7,-1291,-7.3,-12359851,-2.7,762949,39.1,12138,43.2,105,5.3,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,16467.666666666668,9.709154141408927,19.91945307371171,7.645397699428633,1,1
18127,5,3311,76,0,2020,4,,4,3859,3849,3885,82702894,370937,10300,1646,,12.37,118.34,117.64,119.0,139.74,43.24,48.51,1.18,,-1,-20.0,-466,-10.8,-454,-10.6,-379,-8.9,-6526850,-7.3,130770,54.4,2796,37.3,49,3.1,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,3864.3333333333335,8.259544458002292,18.230765153335696,7.406103381237015,1,1
19000,5,3311,56,0,2020,4,,12,1018,1014,1008,23677740,1873087,76480,1797,,1.34,1.22,1.22,1.2,1.43,3.0,7.73,1.17,,-1,-7.7,-70,-6.4,-66,-6.1,-71,-6.6,3414325,16.8,64524,3.6,39678,107.8,357,24.8,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1013.3333333333334,6.921000505732158,16.98004592423628,7.493873886783559,1,1
20000,5,3311,56,0,2020,4,,4,90,94,93,1184198,105594,1410,987,,0.53,0.12,0.13,0.12,0.08,0.18,0.24,0.66,,0,0.0,-10,-10.0,-3,-3.1,-3,-3.1,138046,13.2,-1154,-1.1,-788,-35.9,163,19.8,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,92.33333333333333,4.5254052175192285,13.984576310174486,6.894670039433482,1,1
21000,5,3311,56,0,2020,4,,30,1563,1590,1589,33521924,1229127,25715,1631,,2.7,1.53,1.55,1.54,1.71,3.67,3.6,1.11,,3,11.1,-112,-6.7,-182,-10.3,-121,-7.1,-598647,-1.8,-47436,-3.7,-5787,-18.4,104,6.8,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1580.6666666666667,7.365601977957241,17.32771023049894,7.396948602621014,1,1
22000,5,3311,56,0,2020,4,,11,382,379,379,10987336,89997,1329,2224,,0.92,0.38,0.38,0.38,0.56,0.37,0.31,1.48,,0,0.0,-122,-24.2,-88,-18.8,-79,-17.2,-3890043,-26.1,-18348,-16.9,-219,-14.1,-179,-7.4,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,380.0,5.940171252720432,16.21225389481184,7.707062655370473,1,1
25000,5,3311,56,0,2020,4,,7,24,23,22,543280,9931,402,1817,,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.74,,0,0.0,0,0.0,-2,-8.0,-2,-8.3,-94490,-14.8,-39959,-80.1,-1947,-82.9,-199,-9.9,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,23.0,3.1354942159291497,13.205380119787673,7.504942068396171,1,1
26000,5,3311,56,0,2020,4,,44,3582,3529,3492,78922190,622382,19523,1718,,1.94,1.57,1.55,1.56,1.53,1.13,1.06,0.98,,-3,-6.4,-1205,-25.2,-1488,-29.7,-1493,-29.9,-33009779,-29.5,-393534,-38.7,-14737,-43.0,-29,-1.7,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,3534.3333333333335,8.170279970257688,18.183972988353542,7.4489161025442,1,1
26125,5,3311,76,0,2020,4,,7,248,232,253,4243027,63861,961,1336,,1.93,0.65,0.6,0.66,0.41,0.62,0.26,0.65,,-2,-22.2,-106,-29.9,-125,-35.0,-81,-24.3,-1407821,-24.9,-25819,-28.8,-2123,-68.8,88,7.1,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,244.33333333333334,5.498533413218542,15.260787487586322,7.197435354096591,1,1
26147,5,3311,76,0,2020,4,,4,59,62,67,919820,39220,2789,1129,,15.94,2.47,2.62,2.88,1.96,6.98,15.33,0.74,,0,0.0,-5,-7.8,-2,-3.1,-2,-2.9,27678,3.1,12920,49.1,1052,60.6,84,8.0,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,62.666666666666664,4.137829674161839,13.731933277708926,7.029087564149662,1,1
26999,5,3311,76,0,2020,4,,7,15,15,14,550112,4846,121,2885,,2.46,0.24,0.24,0.22,0.28,0.17,0.11,1.19,,-1,-12.5,-2,-11.8,-2,-11.8,-3,-17.6,-71404,-11.5,4846,100.0,121,100.0,73,2.6,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,14.666666666666666,2.6855773452501515,13.21787717284122,7.9672801789422,1,1
28000,5,3311,56,0,2020,4,,8,1475,1482,1480,44776032,1001776,2022,2329,,1.24,2.39,2.38,2.35,4.4,3.94,1.15,1.85,,0,0.0,-49,-3.2,-33,-2.2,-35,-2.3,5158142,13.0,-354907,-26.2,-458,-18.5,321,16.0,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1479.0,7.2991214627108,17.61718355422165,7.753194269884341,1,1
