"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","3311","56","0","2020","4","",27,4846,4834,4827,126326497,1006665,14461,2010,"",2.34,4.50,4.47,4.42,5.85,3.70,3.39,1.31,"",2,8.0,-167,-3.3,-234,-4.6,-264,-5.2,-3975101,-3.1,-715203,-41.5,-35959,-71.3,28,1.4
"01007","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",31.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",13.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",3.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","3311","76","0","2020","4","",6,1428,1426,1418,39654506,217079,5007,2142,"",3.53,7.56,7.50,7.37,9.08,4.89,8.00,1.21,"",0,0.0,21,1.5,-4,-0.3,-13,-0.9,2637941,7.1,-457748,-67.8,-30250,-85.8,141,7.0
"01083","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",7.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","3311","76","0","2020","4","N",3,0,0,0,0,0,0,0,"N",3.33,0,0,0,0,0,0,0,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","3311","76","0","2020","4","",3,1681,1690,1687,37785046,437219,5348,1724,"",3.31,18.16,18.23,18.11,20.11,18.53,12.23,1.11,"",0,0.0,-67,-3.8,-63,-3.6,-74,-4.2,-4928629,-11.5,-39364,-8.3,-116,-2.1,-149,-8.0
"01103","5","3311","76","0","2020","4","N",3,0,0,0,0,0,0,0,"N",12.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",15.93,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01115","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",7.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01125","5","3311","76","0","2020","4","N",3,0,0,0,0,0,0,0,"N",7.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01129","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",43.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","3311","76","0","2020","4","N",2,0,0,0,0,0,0,0,"N",1.48,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","3311","56","0","2020","4","N",1,0,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02090","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",5.11,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","3311","56","0","2020","4","",8,163,168,166,3430472,107752,1403,1593,"",0.54,0.10,0.10,0.10,0.10,0.27,0.17,0.94,"",0,0.0,-10,-5.8,-5,-2.9,-8,-4.6,486265,16.5,19240,21.7,-203,-12.6,286,21.9
"04013","5","3311","76","0","2020","4","",6,61,64,61,1013475,82899,807,1257,"",0.62,0.05,0.06,0.05,0.04,0.28,0.14,0.71,"",0,0.0,-7,-10.3,-2,-3.0,-7,-10.3,89942,9.7,21357,34.7,-79,-8.9,202,19.1
"04015","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",2.92,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04021","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",3.43,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05000","5","3311","56","0","2020","4","",12,3609,3634,3627,106394832,1157209,12234,2259,"",1.49,5.43,5.45,5.41,8.80,7.98,5.01,1.62,"",3,33.3,264,7.9,285,8.5,291,8.7,5367934,5.3,225895,24.3,4024,49.0,-65,-2.8
"05067","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",26.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05093","5","3311","76","0","2020","4","",7,2858,2872,2857,91798565,887655,10998,2467,"",76.18,299.20,303.63,302.44,460.33,401.31,212.53,1.53,"",1,16.7,304,11.9,309,12.1,301,11.8,3314780,3.7,4097,0.5,3193,40.9,-194,-7.3
"05131","5","3311","76","0","2020","4","N",2,0,0,0,0,0,0,0,"N",6.31,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05999","5","3311","76","0","2020","4","N",2,0,0,0,0,0,0,0,"N",1.82,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06000","5","3311","56","0","2020","4","",97,2328,2304,2293,51673902,631156,26116,1722,"",0.69,0.25,0.25,0.25,0.18,0.30,0.26,0.72,"",-7,-6.7,-323,-12.2,-208,-8.3,-206,-8.2,-655326,-1.3,-10347,-1.6,3195,13.9,146,9.3
"06001","5","3311","76","0","2020","4","N",2,0,0,0,0,0,0,0,"N",0.35,0,0,0,0,0,0,0,"N",-2,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06013","5","3311","76","0","2020","4","N",3,0,0,0,0,0,0,0,"N",1.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06017","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",2.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06029","5","3311","76","0","2020","4","",4,36,37,40,583646,8109,402,1192,"",2.09,0.19,0.20,0.22,0.17,0.14,0.11,0.80,"",0,0.0,4,12.5,5,15.6,6,17.6,120162,25.9,-10694,-56.9,-237,-37.1,101,9.3
"06037","5","3311","76","0","2020","4","",25,135,129,114,2818750,61956,1854,1721,"",0.56,0.06,0.06,0.05,0.04,0.12,0.08,0.77,"",0,0.0,-26,-16.1,-29,-18.4,-39,-25.5,-268449,-8.7,-304,-0.5,-518,-21.8,212,14.0
"06053","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06059","5","3311","76","0","2020","4","N",6,0,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,0,"N",-4,-40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06061","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",0.82,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06065","5","3311","76","0","2020","4","",9,303,310,294,5506582,134515,6410,1401,"",1.46,0.74,0.74,0.71,0.70,1.18,1.32,0.96,"",2,28.6,-10,-3.2,7,2.3,-15,-4.9,491703,9.8,-5190,-3.7,766,13.6,150,12.0
"06069","5","3311","76","0","2020","4","N",1,0,0,0,0,0,0,0,"N",6.98,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06071","5","3311","76","0","2020","4","",11,1015,1008,1004,23015832,74089,2686,1755,"",1.95,2.36,2.32,2.29,2.63,0.62,0.53,1.13,"",-1,-8.3,-210,-17.1,-108,-9.7,-93,-8.5,-1457627,-6.0,-33322,-31.0,-939,-25.9,112,6.8
"06073","5","3311","76","0","2020","4","N",10,0,0,0,0,0,0,0,"N",0.98,0,0,0,0,0,0,0,"N",2,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
