"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","3311","56","0","2021","1","",27,4836,4798,4797,119128718,39081037,523291,1905,"",2.33,4.44,4.41,4.40,5.95,4.57,3.79,1.35,"",1,3.8,-266,-5.2,-277,-5.5,-259,-5.1,-14277872,-10.7,-3273891,-7.7,-90460,-14.7,-116,-5.7
"01007","5","3311","76","0","2021","1","N",1,0,0,0,0,0,0,0,"N",31.28,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","3311","76","0","2021","1","N",1,0,0,0,0,0,0,0,"N",13.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","3311","76","0","2021","1","N",1,0,0,0,0,0,0,0,"N",3.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","3311","76","0","2021","1","",6,1418,1412,1409,34786247,11346042,133022,1894,"",3.53,7.33,7.33,7.33,8.11,7.24,5.52,1.11,"",0,0.0,-24,-1.7,-27,-1.9,-21,-1.5,-287438,-0.8,-297970,-2.6,-186833,-58.4,16,0.9
"01083","5","3311","76","0","2021","1","N",1,0,0,0,0,0,0,0,"N",7.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","3311","76","0","2021","1","N",3,0,0,0,0,0,0,0,"N",3.27,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","3311","76","0","2021","1","",3,1666,1664,1673,40044155,13728730,213388,1847,"",3.28,17.72,17.81,17.80,24.11,18.43,16.42,1.36,"",0,0.0,-76,-4.4,-81,-4.6,-62,-3.6,-5357393,-11.8,-1328952,-8.8,59519,38.7,-159,-7.9
"01103","5","3311","76","0","2021","1","N",3,0,0,0,0,0,0,0,"N",12.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","5","3311","76","0","2021","1","N",1,0,0,0,0,0,0,0,"N",15.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01115","5","3311","76","0","2021","1","N",1,0,0,0,0,0,0,0,"N",7.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
